name,head,body,arm,wst,leg,charm,NumMoreThanLv1Slot,NumMoreThanLv2Slot,NumMoreThanLv3Slot,NumMoreThanLv4Slot,Defense,Fire Res,Water Res,Thunder Res,Ice Res,Dragon Res,アイテム使用強化,威嚇,運搬の達人,オトモへの采配,ガード性能,回避距離ＵＰ,回避性能,回復速度,火事場力,滑走強化,雷属性攻撃強化,雷耐性,感知,貫通弾・竜の一矢強化,気絶耐性,キノコ大好き,強化持続,クライマー,ＫＯ術,研究者,広域化,攻撃,氷属性攻撃強化,氷耐性,こやし名人,渾身,昆虫標本の達人,採集の達人,寒さ耐性,逆恨み,散弾・剛射強化,死中に活,しゃがみ移動速度ＵＰ,弱点特効,ジャンプ鉄人,集中,瘴気環境適応,瘴気耐性,植生学,導蟲反応距離ＵＰ,睡眠属性強化,睡眠耐性,睡眠ビン追加,スタミナ急速回復,スタミナ奪取,スリンガー装填数ＵＰ,整備,精霊の加護,閃光強化,潜伏,属性解放／装填拡張,属性やられ耐性,体術,耐震,体力回復量ＵＰ,体力増強,匠,探索者の幸運,力の解放,地質学,超会心,挑戦者,追跡の達人,通常弾・通常矢強化,釣り名人,砥石使用高速化,特殊射撃強化,毒属性強化,毒耐性,毒ビン追加,飛び込み,泥耐性,肉焼き名人,熱ダメージ無効,納刀術,乗り名人,破壊王,剥ぎ取り鉄人,爆破属性強化,爆破ビン追加,爆破やられ耐性,抜刀術【技】,ハニーハンター,早食い,腹減り耐性,飛燕,火属性攻撃強化,火耐性,ひるみ軽減,風圧耐性,笛吹き名人,不屈,フルチャージ,防御,防御力ＤＯＷＮ耐性,砲撃手,砲術,砲弾装填数ＵＰ,ボマー,麻痺属性強化,麻痺耐性,麻痺ビン追加,満足感,見切り,水属性攻撃強化,水耐性,水場・深雪適応,耳栓,ランナー,龍属性攻撃強化,龍耐性,龍封力強化,裂傷耐性,環境利用の知識,蛮顎竜の力,蛮顎竜の闘志,蛮顎竜の覇気,火竜の力,火竜の奥義,火竜の真髄,桜火竜の奥義,雌火竜の真髄,熔山龍の奥義,熔山龍の真髄,風漂竜の恩恵,風漂竜の恩寵,風漂竜の覇気,惨爪竜の力,惨爪竜の奥義,惨爪竜の真髄,角竜の力,角竜の奥義,角竜の覇気,爆鱗竜の守護,爆鱗竜の覇気,爆鎚竜の守護,爆鎚竜の覇気,滅尽龍の飢餓,炎王龍の武技,滅尽龍の覇気,鋼龍の飛翔,屍套龍の命脈,屍套龍の霊脈,幻獣の恩恵,幻獣の恩寵,幻獣の神秘,冥灯龍の神秘,ギルドの導き,調査団の導き,ガード強化,心眼／弾導強化,無属性強化,弓溜め段階解放,剛刃研磨,炎妃龍の恩寵,炎妃龍の真髄,アステラの祝福,竜騎士の証,ウィッチャーの心得,太古の神秘,調査団の錬金術,氷牙竜の秘技,迅竜の真髄,斬竜の真髄,砕竜の真髄,轟竜の真髄,教官の導き,恐暴竜の真髄,雷狼竜の真髄,ギルドの見識,冰龍の神秘,溟龍の神秘,地啼龍の神秘,金火竜の真髄,銀火竜の真髄,金獅子の怒気,サバイバー,動力源,赤龍の封印,万福の祝福,大感謝の祝福,満開の祝福,情熱の祝福,ホラーナイトの祝福,金獅子の闘志,砕竜の闘志,爛輝龍の真髄,煌黒龍の神秘,氷牙竜の絶技,黒龍の伝説,New World,災禍転福,攻めの守勢,鈍器使い,業物／弾丸節約,クラッチ攻撃強化,受け身術,根性,奮起,陽動攻撃
レザーパンツ,0,0,0,0,1,0,0,0,0,0,38,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
チェーンパンツ,0,0,0,0,1,0,0,0,0,0,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ハンターグリーヴ,0,0,0,0,1,0,0,0,0,0,42,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ボーングリーヴ,0,0,0,0,1,0,0,0,0,0,42,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ランゴグリーヴ,0,0,0,0,1,0,0,0,0,0,44,-2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ガライーブーツ,0,0,0,0,1,0,0,0,0,0,48,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ジャグラスグリーヴ,0,0,0,0,1,0,0,0,0,0,44,-2,2,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
クルルグリーヴ,0,0,0,0,1,0,0,0,0,0,46,0,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アロイグリーヴ,0,0,0,0,1,0,0,0,0,0,40,-2,1,-2,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
プケプケグリーヴ,0,0,0,0,1,0,0,0,0,0,44,0,3,-3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
