名前,所持数
防音珠【３】,7
毒瓶珠【３】,7
痺瓶珠【３】,7
眠瓶珠【３】,7
爆瓶珠【３】,7
解放珠【３】,7
匠珠【３】,7
耐衝珠【３】,7
強弾珠【３】,7
貫通珠【３】,7
散弾珠【３】,7
龍封珠【３】,7
防風珠【２】,7
耐震珠【２】,7
超心珠【２】,7
痛撃珠【２】,7
短縮珠【２】,7
抜刀珠【２】,7
重撃珠【２】,7
ＫＯ珠【２】,7
飛燕珠【２】,7
全開珠【２】,7
挑戦珠【２】,7
無傷珠【２】,7
底力珠【２】,7
逆上珠【２】,7
増弾珠【２】,7
強走珠【２】,7
体術珠【２】,7
早気珠【２】,7
回避珠【２】,7
跳躍珠【２】,7
渾身珠【２】,7
滑走珠【２】,7
昂揚珠【２】,7
強弓珠【２】,7
剛刃珠【２】,7
心眼珠【２】,7
強壁珠【２】,7
無撃珠【２】,7
耐毒珠【１】,7
耐麻珠【１】,7
耐眠珠【１】,7
耐絶珠【１】,7
耐爆珠【１】,7
耐裂珠【１】,7
耐防珠【１】,7
攻撃珠【１】,7
防御珠【１】,7
体力珠【１】,7
早復珠【１】,7
耐火珠【１】,7
耐水珠【１】,7
耐氷珠【１】,7
耐雷珠【１】,7
耐龍珠【１】,7
耐属珠【１】,7
火炎珠【１】,7
流水珠【１】,7
氷結珠【１】,7
雷光珠【１】,7
破龍珠【１】,7
毒珠【１】,7
麻痺珠【１】,7
睡眠珠【１】,7
爆破珠【１】,7
達人珠【１】,7
奪気珠【１】,7
逆境珠【１】,7
鼓笛珠【１】,7
特射珠【１】,7
砲術珠【１】,7
砲手珠【１】,7
無食珠【１】,7
鉄壁珠【１】,7
速納珠【１】,7
友愛珠【１】,7
持続珠【１】,7
節食珠【１】,7
早食珠【１】,7
研磨珠【１】,7
爆師珠【１】,7
茸好珠【１】,7
加護珠【１】,7
采配珠【１】,7
植学珠【１】,7
地学珠【１】,7
投石珠【１】,7
潜伏珠【１】,7
環境珠【１】,7
沼渡珠【１】,7
標本珠【１】,7
嗅覚珠【１】,7
威嚇珠【１】,7
治癒珠【１】,7
窮地珠【１】,7
整備珠【１】,7
耐瘴珠【１】,7
耐暑珠【２】,7
守勢珠【２】,7
耐寒珠【２】,7
転福珠【３】,7
陽動珠【３】,7
受身珠【３】,7
削撃珠【３】,7
耐火珠Ⅱ【４】,7
耐水珠Ⅱ【４】,7
耐氷珠Ⅱ【４】,7
耐雷珠Ⅱ【４】,7
耐龍珠Ⅱ【４】,7
火炎珠Ⅱ【４】,7
流水珠Ⅱ【４】,7
氷結珠Ⅱ【４】,7
雷光珠Ⅱ【４】,7
破龍珠Ⅱ【４】,7
毒珠Ⅱ【４】,7
麻痺珠Ⅱ【４】,7
睡眠珠Ⅱ【４】,7
爆破珠Ⅱ【４】,7
耐火珠Ⅲ【４】,7
耐水珠Ⅲ【４】,7
耐氷珠Ⅲ【４】,7
耐雷珠Ⅲ【４】,7
耐龍珠Ⅲ【４】,7
耐毒珠Ⅱ【４】,7
耐麻珠Ⅱ【４】,7
耐眠珠Ⅱ【４】,7
耐絶珠Ⅱ【４】,7
耐爆珠Ⅱ【４】,7
耐裂珠Ⅱ【４】,7
耐防珠Ⅱ【４】,7
耐瘴珠Ⅱ【４】,7
無食珠Ⅱ【４】,7
早復珠Ⅱ【４】,7
潜伏珠Ⅱ【４】,7
威嚇珠Ⅱ【４】,7
采配珠Ⅱ【４】,7
潜伏珠Ⅲ【４】,7
威嚇珠Ⅲ【４】,7
采配珠Ⅲ【４】,7
特射珠Ⅱ【４】,7
砲手珠Ⅱ【４】,7
植学珠Ⅱ【４】,7
地学珠Ⅱ【４】,7
環境珠Ⅱ【４】,7
沼渡珠Ⅱ【４】,7
標本珠Ⅱ【４】,7
鼓笛珠Ⅱ【４】,7
植学珠Ⅳ【４】,7
地学珠Ⅲ【４】,7
環境珠Ⅲ【４】,7
標本珠Ⅲ【４】,7
持続珠Ⅱ【４】,7
防御珠Ⅱ【４】,7
持続珠Ⅲ【４】,7
防御珠Ⅲ【４】,7
砲術珠Ⅱ【４】,7
防音珠Ⅱ【４】,7
防風珠Ⅱ【４】,7
攻撃珠Ⅱ【４】,7
